Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 566,Galaxy,14.5,68100,Pisces,129,1,29,22.25,+32°19',32,19,32.31666667,0.388335759,0.564032237,
NGC 722,Galaxy,14.5,68400,Aries,154,1,54,28.5,+20°41',20,41,20.68333333,0.497418837,0.360992267,
NGC 761,Galaxy,14.4,68950,Triangulum,157,1,57,29.25,+33°22',33,22,33.36666667,0.510508806,0.582358194,
NGC 392,Galaxy,12.7,69200,Pisces,108,1,8,17,+33°08',33,8,33.13333333,0.296705973,0.578285759,
NGC 535,Galaxy,14.8,69250,Cetus,125,1,25,21.25,-01°24',-1,-24,-1.4,0.370882466,-0.02443461,
NGC 169,Galaxy,13.3,69500,Andromeda,36,0,36,9,+23°59',23,59,23.98333333,0.157079633,0.418588132,Mrk 341
NGC 543,Galaxy,13.2,69550,Cetus,125,1,25,21.25,-01°17',-1,-17,-1.283333333,0.370882466,-0.022398392,
NGC 62,Galaxy,14.3,69700,Cetus,17,0,17,4.25,-13°29',-13,-29,-13.48333333,0.074176493,-0.235328561,
NGC 52,Galaxy,14.3,69800,Pegasus,14,0,14,3.5,+18°34',18,34,18.56666667,0.061086524,0.324049464,
NGC 257,Galaxy,12.6,69900,Pisces,48,0,48,12,+08°17',8,17,8.283333333,0.20943951,0.14457144,
NGC 420,Galaxy,13.4,69900,Pisces,112,1,12,18,+32°07',32,7,32.11666667,0.314159265,0.560541578,
NGC 21,Galaxy,13.4,70300,Andromeda,10,0,10,2.5,+33°21',33,21,33.35,0.043633231,0.582067306,
NGC 29,Duplicate,–,70300,Andromeda,10,0,10,2.5,+33°21',33,21,33.35,0.043633231,0.582067306,
NGC 495,Galaxy,13.2,70350,Pisces,122,1,22,20.5,+33°28',33,28,33.46666667,0.357792497,0.584103523,
NGC 828,Galaxy,12.2,70400,Andromeda,210,2,10,32.5,+39°11',39,11,39.18333333,0.567232007,0.683878179,
NGC 598,Galaxy,5.8,705.2,Triangulum,133,1,33,23.25,+30°39',30,39,30.65,0.405789051,0.534943416,"Triangulum Galaxy, Pinwheel Galaxy, Triangulum Pinwheel Galaxy, M 33"
NGC 682,Galaxy,13.8,70700,Cetus,149,1,49,27.25,-14°58',-14,-58,-14.96666667,0.475602221,-0.261217611,
NGC 687,Galaxy,12.5,70800,Andromeda,150,1,50,27.5,+36°22',36,22,36.36666667,0.479965544,0.634718071,
NGC 557,Galaxy,14.8,70850,Cetus,126,1,26,21.5,-01°38',-1,-38,-1.633333333,0.375245789,-0.028507044,
NGC 97,Galaxy,13.4,70950,Andromeda,22,0,22,5.5,+29°44',29,44,29.73333333,0.095993109,0.518944564,
NGC 36,Galaxy,14.4,71000,Pisces,11,0,11,2.75,+06°23',6,23,6.383333333,0.047996554,0.111410184,
NGC 759,Galaxy,12.7,71000,Andromeda,157,1,57,29.25,+36°20',36,20,36.33333333,0.510508806,0.634136295,
NGC 677,Galaxy,12.3,71250,Aries,149,1,49,27.25,+13°03',13,3,13.05,0.475602221,0.227765467,
NGC 923,Galaxy,14.4,71250,Andromeda,227,2,27,36.75,+41°58',41,58,41.96666667,0.6414085,0.732456509,
NGC 227,Galaxy,12.2,71400,Cetus,42,0,42,10.5,-01°31',-1,-31,-1.516666667,0.183259571,-0.026470827,
NGC 160,Galaxy,12.7,71700,Andromeda,36,0,36,9,+23°57',23,57,23.95,0.157079633,0.418006356,
NGC 161,Galaxy,14.4,72000,Cetus,35,0,35,8.75,-02°50',-2,-50,-2.833333333,0.15271631,-0.049450995,
NGC 413,Galaxy,15.1,72050,Cetus,112,1,12,18,-02°47',-2,-47,-2.783333333,0.314159265,-0.048578331,
NGC 699,Galaxy,14.9,72100,Cetus,150,1,50,27.5,-12°02',-12,-2,-12.03333333,0.479965544,-0.210021287,
NGC 854,Galaxy,13.8,72100,Fornax,211,2,11,32.75,-35°50',-35,-50,-35.83333333,0.57159533,-0.625409649,
NGC 382,Galaxy,14.5,72250,Pisces,107,1,7,16.75,+32°24',32,24,32.4,0.29234265,0.565486678,
NGC 53,Galaxy,12.6,72300,Tucana,14,0,14,3.5,-60°19',-60,-19,-60.31666667,0.061086524,-1.052724427,
NGC 528,Galaxy,13.7,72400,Andromeda,125,1,25,21.25,+33°40',33,40,33.66666667,0.370882466,0.587594182,
NGC 703,Galaxy,13.3,72800,Andromeda,152,1,52,28,+36°10',36,10,36.16666667,0.488692191,0.631227413,
NGC 883,Galaxy,13.5,73200,Cetus,219,2,19,34.75,-06°47',-6,-47,-6.783333333,0.606501915,-0.118391501,
NGC 574,Galaxy,14.3,73300,Sculptor,129,1,29,22.25,-35°35',-35,-35,-35.58333333,0.388335759,-0.621046326,
NGC 712,Galaxy,14.1,73400,Andromeda,153,1,53,28.25,+36°49',36,49,36.81666667,0.493055514,0.642572053,
NGC 671,Galaxy,16.7,73500,Aries,146,1,46,26.5,+13°07',13,7,13.11666667,0.462512252,0.22892902,
NGC 893,Galaxy,13.6,73500,Phoenix,219,2,19,34.75,-41°24',-41,-24,-41.4,0.606501915,-0.72256631,
